duration,width,height,bitrate,framerate,i,p,b,frames,i_size,p_size,size,o_bitrate,o_framerate,o_width,o_height,umem,Codec_flv,Codec_h264,Codec_mpeg4,Codec_vp8,category_Autos & Vehicles,category_Comedy,category_Education,category_Entertainment,category_Film & Animation,category_Gaming,category_Howto & Style,category_Music,category_News & Politics,category_Nonprofits & Activis,category_People & Blogs,category_Pets & Animals,category_Science & Technology,category_Shows,category_Sports,category_Travel & Events,o_Codec_flv,o_Codec_h264,o_Codec_mpeg4,o_Codec_vp8
304.927,320,240,134334,25.075658999999998,82,7541,0,7623,833754,4286526,5120280,56000,15.0,640,480,216820,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
177.33333000000002,176,144,53707,12.0,37,2091,0,2128,100969,1089548,1190517,5000000,12.0,640,480,163632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
69.93833000000001,176,144,56717,12.0,14,825,0,839,47521,448322,495843,5000000,12.0,176,144,221152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
384.45099999999996,640,480,646432,29.0,205,11318,0,11523,2839955,28225248,31065203,242000,25.0,480,360,217828,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
130.35667,176,144,54590,12.0,27,1537,0,1564,64483,825054,889537,242000,25.0,480,360,29236,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
177.33333000000002,176,144,53707,12.0,37,2091,0,2128,100969,1089548,1190517,539000,29.97,1920,1080,163024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
290.01666,176,144,52783,12.0,61,3417,0,3478,119325,1794184,1913509,56000,15.0,176,144,130476,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
368.32,640,480,29096,25.021739999999998,74,9134,0,9208,869558,470067,1339625,242000,25.0,1920,1080,221152,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
167.39166,1280,720,2207484,24.0,86,3931,0,4017,4369420,41819887,46189307,3000000,15.0,640,480,219656,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
490.6,480,360,300437,25.0,256,12010,0,12266,1448177,16976151,18424328,109000,25.0,1280,720,219480,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
86.486,640,480,356037,29.0,46,2547,0,2593,819680,3029350,3849030,5000000,24.0,176,144,219656,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
216.55,320,240,291150,29.0,112,6379,0,6491,1789334,6091735,7881069,109000,12.0,640,480,211164,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
42.2,480,360,288705,25.0,23,1033,0,1056,216154,1306770,1522924,242000,29.97,480,360,216820,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
157.891,480,360,406908,29.0,87,4646,0,4733,1776729,6254165,8030894,3000000,25.0,320,240,219464,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
311.1,176,144,56416,12.0,113,3620,0,3733,127552,2066350,2193902,56000,24.0,1920,1080,221160,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
273.816,1920,1080,1571003,25.065932999999998,77,6766,0,6843,6190779,47579961,53770740,242000,15.0,1280,720,219656,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
384.45099999999996,640,480,646432,29.0,205,11318,0,11523,2839955,28225248,31065203,5000000,25.0,320,240,217828,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
222.53333999999998,480,360,500449,30.0,219,6457,0,6676,2821722,11099102,13920824,56000,24.0,1920,1080,217332,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
157.891,480,360,406908,29.0,87,4646,0,4733,1776729,6254165,8030894,56000,25.0,320,240,219464,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
204.938,480,360,297373,16.0,111,3169,0,3280,1451634,6166260,7617894,3000000,15.0,1280,720,323084,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
750.433,1280,720,794075,13.482667000000001,81,10031,0,10112,3852576,70635013,74487589,3000000,24.0,1280,720,165700,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106.765,1280,720,849586,25.0,66,2603,0,2669,4427240,6911026,11338266,242000,29.97,1280,720,219480,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
